PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),LGH4 LEVEL0 (micro einstein m-2 s-1),TEMP LEVEL1 (degree_Celsius),PSAL LEVEL1 (psu),BATTERY LEVEL1 (volt),CNDC LEVEL1 (S/m),DEPH LEVEL1 (meter),DOX1 LEVEL1 (ml/l),END_CYCLE_FLOW LEVEL1 (l/minute),FLU3 LEVEL1 (FFU),MASS_DOXY LEVEL1 (milligram/m3),OSAT LEVEL1 (%),PHPH LEVEL1 (none),TUR4 LEVEL1 (ntu),QC
6200450,0x3f,2024-09-01T00:00:00Z,48.3580,-4.5518,0,100.541,17.64,34.917,,4.544,2.691,4.83,0.46,0.474,8355,87.986,8.166,23.382,0011174119111011111
6200450,0x3f,2024-09-01T00:00:01Z,48.3580,-4.5518,,,,,26.321,,3,,,,,,,,0011199990979999999
6200450,0x3f,2024-09-01T00:20:00Z,48.3580,-4.5518,,,17.489,34.972,,4.535,2.766,4.75,0.478,0.325,8223,86.473,8.17,22.705,0011199119111011111
6200450,0x3f,2024-09-01T00:20:01Z,48.3580,-4.5518,0,100.542,,,,,,,,,,,,,0011174999999999999
6200450,0x3f,2024-09-01T00:40:00Z,48.3580,-4.5518,0,100.541,17.633,34.923,,4.545,2.782,4.89,0.468,0.565,8457,88.869,8.17,22.7,0011174119111011111
6200450,0x3f,2024-09-01T01:00:00Z,48.3580,-4.5518,,,17.522,34.974,,4.538,2.786,3.44,0.487,0.51,5959,62.583,8.161,22.315,0011199119111011111
6200450,0x3f,2024-09-01T01:00:01Z,48.3580,-4.5518,0,100.539,,,,,,,,,,,,,0011174999999999999
6200450,0x3f,2024-09-01T01:20:00Z,48.3580,-4.5518,0,100.54,17.478,34.992,,4.536,2.783,3.75,0.477,0.451,6487,68.39,8.161,22.861,0011174119111011111
6200450,0x3f,2024-09-01T01:40:00Z,48.3580,-4.5518,0,100.538,17.501,34.971,,4.536,2.74,3.7,0.482,0.293,6396,67.436,8.163,22.166,0011174119111011111
6200450,0x3f,2024-09-01T01:59:59Z,48.3580,-4.5518,0,100.54,,,,,,,,,,,,,0011174999999999999
6200450,0x3f,2024-09-01T02:00:00Z,48.3580,-4.5518,,,17.492,34.972,,4.536,2.781,4.16,0.474,0.284,7198,75.345,8.158,21.896,0011199119111011111
