PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL1 (degree_Celsius),PSAL LEVEL1 (psu),DOX1 LEVEL1 (ml/l),PRES LEVEL1 (decibar),QC
EXIN0002,2024-09-01T00:02:20Z,43.6830,7.3170,27.7261,38.3305,4.359,2,01111111
EXIN0002,2024-09-01T00:32:20Z,43.6830,7.3170,27.7026,38.3207,4.356,2,01111111
EXIN0002,2024-09-01T01:02:20Z,43.6830,7.3170,27.6875,38.3247,4.363,2,01111111
EXIN0002,2024-09-01T01:32:20Z,43.6830,7.3170,27.6653,38.3283,4.345,2,01111111
EXIN0002,2024-09-01T02:02:20Z,43.6830,7.3170,27.6346,38.3301,4.375,2,01111111
EXIN0002,2024-09-01T02:32:20Z,43.6830,7.3170,27.6226,38.3379,4.374,2,01111111
EXIN0002,2024-09-01T03:02:20Z,43.6830,7.3170,27.5765,38.3403,4.369,2,01111111
EXIN0002,2024-09-01T03:32:20Z,43.6830,7.3170,27.5162,38.3361,4.376,2,01111111
EXIN0002,2024-09-01T04:02:20Z,43.6830,7.3170,27.5106,38.3445,4.363,2,01111111
EXIN0002,2024-09-01T04:32:20Z,43.6830,7.3170,27.4724,38.3494,4.359,2,01111111
EXIN0002,2024-09-01T05:02:20Z,43.6830,7.3170,27.4336,38.3489,4.347,2,01111111
EXIN0002,2024-09-01T05:32:20Z,43.6830,7.3170,27.4019,38.3484,4.386,2,01111111
EXIN0002,2024-09-01T06:02:20Z,43.6830,7.3170,27.3733,38.3436,4.357,2,01111111
EXIN0002,2024-09-01T06:32:20Z,43.6830,7.3170,27.3627,38.3418,4.404,2,01111111
EXIN0002,2024-09-01T07:02:20Z,43.6830,7.3170,27.3821,38.3494,4.416,2,01111111
EXIN0002,2024-09-01T07:32:20Z,43.6830,7.3170,27.4008,38.3506,4.381,2,01111111
EXIN0002,2024-09-01T08:02:20Z,43.6830,7.3170,27.4611,38.3545,4.432,2,01111111
EXIN0002,2024-09-01T08:32:20Z,43.6830,7.3170,27.4949,38.3549,4.445,2,01111111
EXIN0002,2024-09-01T09:02:20Z,43.6830,7.3170,27.5175,38.3507,4.458,2,01111111
EXIN0002,2024-09-01T09:32:20Z,43.6830,7.3170,27.5624,38.3499,4.473,2,01111111
EXIN0002,2024-09-01T10:02:20Z,43.6830,7.3170,27.5568,38.3465,4.479,2,01111111
EXIN0002,2024-09-01T10:32:20Z,43.6830,7.3170,27.6781,38.3521,4.468,2,01111111
EXIN0002,2024-09-01T11:02:20Z,43.6830,7.3170,27.6613,38.3487,4.491,2,01111111
EXIN0002,2024-09-01T11:32:20Z,43.6830,7.3170,27.7853,38.3611,4.469,2,01111111
EXIN0002,2024-09-01T12:02:20Z,43.6830,7.3170,27.8905,38.3729,4.48,2,01111111
EXIN0002,2024-09-01T12:32:20Z,43.6830,7.3170,27.4276,38.3269,4.491,2,01111111
EXIN0002,2024-09-01T13:02:20Z,43.6830,7.3170,27.3735,38.3183,4.53,2,01111111
EXIN0002,2024-09-01T13:32:20Z,43.6830,7.3170,27.3707,38.3181,4.534,2,01111111
EXIN0002,2024-09-01T14:02:20Z,43.6830,7.3170,27.3843,38.3081,4.519,2,01111111
EXIN0002,2024-09-01T14:32:20Z,43.6830,7.3170,27.4101,38.2907,4.526,2,01111111
EXIN0002,2024-09-01T15:02:20Z,43.6830,7.3170,27.4791,38.2997,4.509,2,01111111
EXIN0002,2024-09-01T15:32:20Z,43.6830,7.3170,27.5357,38.313,4.548,2,01111111
EXIN0002,2024-09-01T16:02:20Z,43.6830,7.3170,27.6181,38.3054,4.499,2,01111111
EXIN0002,2024-09-01T16:32:20Z,43.6830,7.3170,27.7385,38.3276,4.465,2,01111111
EXIN0002,2024-09-01T17:02:20Z,43.6830,7.3170,27.7071,38.3271,4.479,2,01111111
EXIN0002,2024-09-01T17:32:20Z,43.6830,7.3170,27.636,38.3273,4.47,2,01111111
EXIN0002,2024-09-01T18:02:20Z,43.6830,7.3170,27.8052,38.3387,4.44,2,01111111
EXIN0002,2024-09-01T18:32:20Z,43.6830,7.3170,27.7787,38.3463,4.439,2,01111111
EXIN0002,2024-09-01T19:02:20Z,43.6830,7.3170,27.7487,38.3446,4.405,2,01111111
EXIN0002,2024-09-01T19:32:20Z,43.6830,7.3170,27.6671,38.3413,4.432,2,01111111
EXIN0002,2024-09-01T20:02:20Z,43.6830,7.3170,27.6001,38.3306,4.415,2,01111111
EXIN0002,2024-09-01T20:32:20Z,43.6830,7.3170,27.5776,38.3306,4.385,2,01111111
EXIN0002,2024-09-01T21:02:20Z,43.6830,7.3170,27.6226,38.3443,4.357,2,01111111
EXIN0002,2024-09-01T22:32:14Z,43.6830,7.3170,27.5583,38.3409,4.371,2,01111111
EXIN0002,2024-09-01T23:02:14Z,43.6830,7.3170,27.4796,38.3313,4.426,2,01111111
EXIN0002,2024-09-01T23:32:14Z,43.6830,7.3170,27.3958,38.3269,4.426,2,01111111
EXIN0002,2024-09-02T00:02:14Z,43.6830,7.3170,27.3067,38.3256,4.445,2,01111111
EXIN0002,2024-09-02T00:32:14Z,43.6830,7.3170,27.238,38.3232,4.419,2,01111111
