PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL1 (degree_Celsius),PSAL LEVEL1 (psu),BATTERY LEVEL1 (volt),CNDC LEVEL1 (S/m),DEPH LEVEL1 (meter),DOX1 LEVEL1 (ml/l),END_CYCLE_FLOW LEVEL1 (l/minute),FLU3 LEVEL1 (FFU),MASS_DOXY LEVEL1 (milligram/m3),OSAT LEVEL1 (%),PHPH LEVEL1 (none),TUR4 LEVEL1 (ntu),QC
6200443,0x3f,2024-10-01T00:00:00Z,50.7405,1.5677,16.264,32.802,,4.169,28.357,5.4,0,5.996,9244,94.206,0,12.379,00111119111011141
6200443,0x3f,2024-10-01T00:00:01Z,50.7405,1.5677,,,23.742,,1.4,,,,,,,,00111990979999999
6200443,0x3f,2024-10-01T00:20:00Z,50.7405,1.5677,16.2,32.723,,4.154,28.357,5.45,0,1.464,9330,95.197,0,4.85,00111119111011141
6200443,0x3f,2024-10-01T00:40:00Z,50.7405,1.5677,16.146,32.689,,4.145,28.357,5.39,0,5.753,9232,94.157,0,6.228,00111119111011141
6200443,0x3f,2024-10-01T01:00:00Z,50.7405,1.5677,16.11,32.646,,4.137,28.357,5.46,0,1.442,9354,95.307,0,2.262,00111119111011141
6200443,0x3f,2024-10-01T01:20:01Z,50.7405,1.5677,16.039,32.564,,4.121,28.357,5.42,0,1.627,9269,94.304,0,13.652,00111119111011141
6200443,0x3f,2024-10-01T01:40:00Z,50.7405,1.5677,16.004,32.517,,4.112,28.357,5.47,0,1.373,9366,95.197,0,9.823,00111119111011141
6200443,0x3f,2024-10-01T02:00:00Z,50.7405,1.5677,15.979,32.498,,4.108,28.357,5.5,0,2.281,9403,95.478,0,8.996,00111119111011141
6200443,0x3f,2024-10-01T02:20:00Z,50.7405,1.5677,15.993,32.513,,4.11,28.357,5.47,0,1.928,9354,94.952,0,9.378,00111119111011141
6200443,0x3f,2024-10-01T02:40:01Z,50.7405,1.5677,15.981,32.371,,4.093,28.357,5.39,0,1.916,9207,93.448,0,7.777,00111119111011141
6200443,0x3f,2024-10-01T03:00:00Z,50.7405,1.5677,15.947,32.144,,4.065,28.357,5.45,0,2.116,9305,94.414,0,9.389,00111119111011141
6200443,0x3f,2024-10-01T03:20:00Z,50.7405,1.5677,15.957,31.964,,4.044,28.357,5.33,0,1.579,9085,92.103,0,7.13,00111119111011141
6200443,0x3f,2024-10-01T03:40:00Z,50.7405,1.5677,15.926,31.762,,4.019,28.357,5.39,0,2.165,9183,93.191,0,8.795,00111119111011141
6200443,0x3f,2024-10-01T04:00:00Z,50.7405,1.5677,15.925,31.705,,4.013,28.357,5.21,0,3.305,8877,89.951,0,10.926,00111119111011141
6200443,0x3f,2024-10-01T04:20:01Z,50.7405,1.5677,15.934,31.706,,4.013,28.357,5.3,0,1.744,9036,91.552,0,6.812,00111119111011141
6200443,0x3f,2024-10-01T04:40:00Z,50.7405,1.5677,15.917,31.669,,4.009,28.357,5.2,0,2.06,8865,89.865,0,9.357,00111119111011141
6200443,0x3f,2024-10-01T05:00:00Z,50.7405,1.5677,15.897,31.569,,3.995,28.357,5.32,0,2.09,9048,91.711,0,8.286,00111119111011141
6200443,0x3f,2024-10-01T05:20:00Z,50.7405,1.5677,15.917,31.622,,4.003,28.357,5.2,0,1.809,8853,89.694,0,9.357,00111119111011141
