PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL1 (degree_Celsius),PSAL LEVEL1 (psu),BATTERY LEVEL1 (volt),CNDC LEVEL1 (S/m),DEPH LEVEL1 (meter),DOX1 LEVEL1 (ml/l),END_CYCLE_FLOW LEVEL1 (l/minute),FLU3 LEVEL1 (FFU),MASS_DOXY LEVEL1 (milligram/m3),NTRA LEVEL1 (millimole/m3),OSAT LEVEL1 (%),PHOS LEVEL1 (millimole/m3),PHPH LEVEL1 (none),TUR4 LEVEL1 (ntu),QC
6200443,0x3f,2024-11-01T00:00:01Z,50.7405,1.5677,15.087,0.037,,0.006,28.357,0.04,0,0,61,,0.648,,0,0,0011114941104191943
6200443,0x3f,2024-11-01T00:00:02Z,50.7405,1.5677,,,22.335,,1.4,,,,,,,,,,0011199097999999999
6200443,0x3f,2024-11-01T00:20:00Z,50.7405,1.5677,15.09,0.037,,0.006,28.357,0.04,0,0,61,,0.66,,0,0,0011114941104191943
6200443,0x3f,2024-11-01T00:40:01Z,50.7405,1.5677,15.076,0.039,,0.006,28.357,0.04,0,0,61,,0.66,,0,0,0011114941104191943
6200443,0x3f,2024-11-01T01:00:01Z,50.7405,1.5677,15.067,0.038,,0.006,28.357,0.04,0,0,61,,0.648,,0,0,0011114941104191943
6200443,0x3f,2024-11-01T01:20:00Z,50.7405,1.5677,15.047,0.039,,0.006,28.357,0.04,0,0,61,,0.648,,0,0,0011114941104191943
6200443,0x3f,2024-11-01T01:40:00Z,50.7405,1.5677,15.026,0.041,,0.006,28.357,0.04,0,0,61,,0.648,,0,0,0011114941104191943
6200443,0x3f,2024-11-01T02:00:00Z,50.7405,1.5677,15.023,0.041,,0.006,28.357,0.04,0,0,61,,0.66,,0,0,0011114941104191943
6200443,0x3f,2024-11-01T02:20:00Z,50.7405,1.5677,15.034,0.04,,0.006,28.357,0.04,0,0,61,,0.66,,0,0,0011114941104191943
6200443,0x3f,2024-11-01T02:40:00Z,50.7405,1.5677,15.056,0.039,,0.006,28.357,0.04,0,0,61,,0.648,,0,0,0011114941104191943
6200443,0x3f,2024-11-01T03:00:01Z,50.7405,1.5677,15.066,0.039,,0.006,28.357,0.04,0,0,61,,0.66,,0,0,0011114941104191943
6200443,0x3f,2024-11-01T03:20:00Z,50.7405,1.5677,15.07,0.039,,0.006,28.357,0.04,0,0,61,,0.66,,0,0,0011114941104191943
