PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DRYT LEVEL-1 (degree_Celsius),ALTS LEVEL-1 (meter),ATMS LEVEL-1 (hectopascal),DEPH LEVEL-1 (meter),GDIR LEVEL-1 (degree),GSPD LEVEL-1 (meter/second),LGH4 LEVEL-1 (micro einstein m-2 s-1),RELH LEVEL-1 (%),WDIR LEVEL-1 (degree),WSPD LEVEL-1 (meter/second),TEMP LEVEL1 (degree_Celsius),PSAL LEVEL1 (psu),CNDC LEVEL1 (S/m),DEPH LEVEL1 (meter),DOX1 LEVEL1 (ml/l),END_CYCLE_FLOW LEVEL1 (l/minute),FLU3 LEVEL1 (FFU),MASS_DOXY LEVEL1 (milligram/m3),OSAT LEVEL1 (%),PHPH LEVEL1 (none),TUR4 LEVEL1 (ntu),TEMP LEVEL3 (degree_Celsius),PSAL LEVEL3 (psu),BATTERY LEVEL3 (volt),CNDC LEVEL3 (S/m),DEPH LEVEL3 (meter),END_CYCLE_FLOW LEVEL3 (l/minute),FLU3 LEVEL3 (FFU),MASS_DOXY LEVEL3 (milligram/m3),OSAT LEVEL3 (%),PHPH LEVEL3 (none),TUR4 LEVEL3 (ntu),QC
6100284,2025-01-16T18:30:00Z,43.3189,4.8662,,,,,,,,,,,11.569,36.375,4.096,1.713,5.91,0.612,3.032,10412,96.381,0,8.82,,,,,,,,,,,,011199999999991111101114199999999999
6100284,2025-01-16T18:32:30Z,43.3189,4.8662,,,,-3,,,214748,,,,,,,,,,,,,,,,,,,,,,,,,,011199979949999999999999999999999999
6100284,2025-01-16T19:00:00Z,43.3189,4.8662,,,,,,,,,,,,,,,,,,,,,,13.081,37.871,,4.402,20,0,1.418,10515,98.257,0,7.266,011199999999999999999999911917011141
6100284,2025-01-16T19:02:31Z,43.3189,4.8662,,,,-3,,,214748,,,,,,,,,,,,,,,,,,,,,,,,,,011199979949999999999999999999999999
6100284,2025-01-16T19:10:04Z,43.3189,4.8662,6.7,6.1,1030,-3,123.5,7.2,,0,8.9,4.5,,,,,,,,,,,,,,,,,,,,,,,011111171194119999999999999999999999
6100284,2025-01-16T19:30:00Z,43.3189,4.8662,,,,,,,,,,,11.556,36.582,4.117,1.916,5.89,0.61,2.103,10402,96.02,0,11.665,,,,,,,,,,,,011199999999991111101114199999999999
6100284,2025-01-16T19:32:30Z,43.3189,4.8662,,,,-3,,,214748,,,,,,,,,,,,,,,,,,,,,,,,,,011199979949999999999999999999999999
6100284,2025-01-16T20:00:01Z,43.3189,4.8662,,,,,,,,,,,,,,,,,,,,,,13.522,37.967,,4.459,20,0,1.199,10237,96.061,0,5.782,011199999999999999999999911917011141
6100284,2025-01-16T20:02:30Z,43.3189,4.8662,,,,-3,,,214748,,,,,,,,,,,,,,,,,,,,,,,,,,011199979949999999999999999999999999
6100284,2025-01-16T20:10:04Z,43.3189,4.8662,6.5,9,1030,-3,355.6,8.2,,0,5.5,5.7,,,,,,,,,,,,,,,,,,,,,,,011111171194119999999999999999999999
