PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DRYT LEVEL-1 (degree_Celsius),ALTS LEVEL-1 (meter),ATMS LEVEL-1 (hectopascal),DEPH LEVEL-1 (meter),GDIR LEVEL-1 (degree),GSPD LEVEL-1 (meter/second),LGH4 LEVEL-1 (micro einstein m-2 s-1),RELH LEVEL-1 (%),WDIR LEVEL-1 (degree),WSPD LEVEL-1 (meter/second),TEMP LEVEL1 (degree_Celsius),PSAL LEVEL1 (psu),CNDC LEVEL1 (S/m),DEPH LEVEL1 (meter),END_CYCLE_FLOW LEVEL1 (l/minute),FLU3 LEVEL1 (FFU),MASS_DOXY LEVEL1 (milligram/m3),OSAT LEVEL1 (%),PHPH LEVEL1 (none),TUR4 LEVEL1 (ntu),TEMP LEVEL3 (degree_Celsius),PSAL LEVEL3 (psu),BATTERY LEVEL3 (volt),CNDC LEVEL3 (S/m),DEPH LEVEL3 (meter),END_CYCLE_FLOW LEVEL3 (l/minute),FLU3 LEVEL3 (FFU),MASS_DOXY LEVEL3 (milligram/m3),OSAT LEVEL3 (%),PHPH LEVEL3 (none),TUR4 LEVEL3 (ntu),QC
6200021,2025-01-17T06:30:00Z,47.4600,-2.6567,,,,,,,,,,,7.158,22.581,2.382,1.5,0.351,2.01,11749,99.162,0,10.472,,,,,,,,,,,,01119999999999111701114199999999999
6200021,2025-01-17T06:45:01Z,47.4600,-2.6567,,,,,,,,,,,,,,,,,,,,,,,24.954,,15,,,,,,,01119999999999999999999999097999999
6200021,2025-01-17T06:46:01Z,47.4600,-2.6567,,,,-3,,,0.4394,,,,,,,,,,,,,,,,,,,,,,,,,01119997991999999999999999999999999
6200021,2025-01-17T06:59:58Z,47.4600,-2.6567,,,,,,,,,,,,,,,,,,,,,8.964,32.697,,3.49,15,0.38,2.293,11378,95.74,0,86.128,01119999999999999999999911917011141
6200021,2025-01-17T07:10:02Z,47.4600,-2.6567,0.8,3.5,1035,-3,78.5,7,,0,66.2,6.3,,,,,,,,,,,,,,,,,,,,,,01111117119411999999999999999999999
6200021,2025-01-17T07:15:00Z,47.4600,-2.6567,,,,,,,,,,,,,,,,,,,,,,,24.902,,15,,,,,,,01119999999999999999999999097999999
6200021,2025-01-17T07:16:01Z,47.4600,-2.6567,,,,-3,,,0.455,,,,,,,,,,,,,,,,,,,,,,,,,01119997991999999999999999999999999
6200021,2025-01-17T07:30:00Z,47.4600,-2.6567,,,,,,,,,,,7.227,22.379,2.366,1.5,0.32,1.581,11717,99.017,0,13.61,,,,,,,,,,,,01119999999999111701114199999999999
6200021,2025-01-17T07:45:01Z,47.4600,-2.6567,,,,,,,,,,,,,,,,,,,,,,,24.897,,15,,,,,,,01119999999999999999999999097999999
6200021,2025-01-17T07:46:00Z,47.4600,-2.6567,,,,-3,,,2.4629,,,,,,,,,,,,,,,,,,,,,,,,,01119997991999999999999999999999999
6200021,2025-01-17T08:00:00Z,47.4600,-2.6567,,,,,,,,,,,,,,,,,,,,,8.936,32.684,,3.487,15,0.328,3.357,11313,95.321,0,120.256,01119999999999999999999911917011141
6200021,2025-01-17T08:10:04Z,47.4600,-2.6567,0.9,4.3,1035,-3,89.4,7.9,,0,67.4,6.2,,,,,,,,,,,,,,,,,,,,,,01111117119411999999999999999999999
