PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DRYT LEVEL-1 (degree_Celsius),ALTS LEVEL-1 (meter),ATMS LEVEL-1 (hectopascal),DEPH LEVEL-1 (meter),GDIR LEVEL-1 (degree),GSPD LEVEL-1 (meter/second),LGH4 LEVEL-1 (micro einstein m-2 s-1),RELH LEVEL-1 (%),WDIR LEVEL-1 (degree),WSPD LEVEL-1 (meter/second),TEMP LEVEL1 (degree_Celsius),PSAL LEVEL1 (psu),BATTERY LEVEL1 (volt),CNDC LEVEL1 (S/m),DEPH LEVEL1 (meter),DOX1 LEVEL1 (ml/l),END_CYCLE_FLOW LEVEL1 (l/minute),FLU3 LEVEL1 (FFU),MASS_DOXY LEVEL1 (milligram/m3),OSAT LEVEL1 (%),PHPH LEVEL1 (none),TUR4 LEVEL1 (ntu),QC
6200310,0x3f,2025-01-17T06:20:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T06:26:01Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T06:40:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T06:46:01Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T07:00:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T07:06:08Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T07:20:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T07:26:00Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T07:34:01Z,49.3438,-0.3074,2.1,16.9,1038,-3,278.2,1.4,,0,203.2,0.5,,,,,,,,,,,,,001111117119411999999999999
6200310,0x3f,2025-01-17T07:40:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T07:46:00Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T08:00:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T08:00:01Z,49.3438,-0.3074,,,,,,,,,,,,,28.325,,0.7,,,,,,,,001119999999999990979999999
6200310,0x3f,2025-01-17T08:07:00Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T08:20:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T08:27:01Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T08:40:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T08:47:00Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T09:00:02Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T09:07:00Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T09:20:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T09:27:00Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T09:40:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T09:47:00Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T10:00:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T10:07:01Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T10:20:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T10:27:01Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T10:40:01Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T10:47:01Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T11:00:01Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T11:07:00Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T11:11:00Z,49.3438,-0.3074,2.9,19.2,1039,-3,291.3,1.2,,0,195,0.4,,,,,,,,,,,,,001111117119411999999999999
6200310,0x3f,2025-01-17T11:20:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T11:30:00Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T11:40:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T11:50:00Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T12:00:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T12:10:00Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T12:20:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T12:30:01Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T12:40:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T12:50:09Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T13:00:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T13:10:00Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T13:20:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T13:30:00Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T13:40:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T13:50:01Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T14:00:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T14:10:00Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T14:20:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T14:30:00Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T14:40:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T14:50:01Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T15:00:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T15:10:00Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T15:20:01Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T15:30:01Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T15:40:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T15:50:00Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T16:00:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T16:00:02Z,49.3438,-0.3074,,,,,,,,,,,,,28.289,,0.7,,,,,,,,001119999999999990979999999
6200310,0x3f,2025-01-17T16:10:01Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-17T16:20:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-17T16:30:01Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
