PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL1 (degree_Celsius),PSAL LEVEL1 (psu),AMON LEVEL1 (millimole/m3),BATTERY LEVEL1 (volt),CNDC LEVEL1 (S/m),DEPH LEVEL1 (meter),DOX1 LEVEL1 (ml/l),END_CYCLE_FLOW LEVEL1 (l/minute),FLU3 LEVEL1 (FFU),MASS_DOXY LEVEL1 (milligram/m3),NTRA LEVEL1 (millimole/m3),NTRI LEVEL1 (millimole/m3),OSAT LEVEL1 (%),PHOS LEVEL1 (millimole/m3),PHPH LEVEL1 (none),TUR4 LEVEL1 (ntu),QC
6200443,0x3f,2025-01-17T06:20:00Z,50.7405,1.5677,7.611,33.049,,,3.404,0.8,6.24,0.267,1.503,10882,,,91.064,,0,20.202,001111199113013991941
6200443,0x3f,2025-01-17T06:40:00Z,50.7405,1.5677,7.508,32.96,,,3.388,0.783,6.25,0.272,1.59,10894,,,91.114,,0,19.613,001111199113013991941
6200443,0x3f,2025-01-17T07:00:00Z,50.7405,1.5677,7.411,32.504,,,3.335,0.793,6.3,0.27,1.4,10956,,,91.472,,0,19.815,001111199113013991941
6200443,0x3f,2025-01-17T07:20:00Z,50.7405,1.5677,7.458,32.6,,,3.349,0.79,6.29,0.279,2.069,10944,,,91.336,,0,19.695,001111199113013991941
6200443,0x3f,2025-01-17T07:40:00Z,50.7405,1.5677,7.346,32.251,,,3.31,0.801,6.3,0.288,1.708,10931,,,91.237,,0,19.757,001111199113013991941
6200443,0x3f,2025-01-17T08:00:00Z,50.7405,1.5677,7.276,31.363,,,3.22,0.79,0,0.262,2.073,0,,,0,,0,19.12,001111199114014994941
6200443,0x3f,2025-01-17T08:00:01Z,50.7405,1.5677,,,,24.614,,1.4,,,,,,,,,,,001119990979999999999
6200443,0x3f,2025-01-17T08:20:00Z,50.7405,1.5677,7.426,32.257,,,3.315,0.799,0,0.292,1.985,0,,,91.522,,0,19.866,001111199114014991941
6200443,0x3f,2025-01-17T08:40:00Z,50.7405,1.5677,7.482,32.747,,,3.366,0.793,0,0.288,2.519,0,,,91.373,,0,24.117,001111199114014991941
6200443,0x3f,2025-01-17T09:00:01Z,50.7405,1.5677,7.51,32.962,,,3.388,0.806,0,0.297,2.361,0,,,91.509,,0,26.858,001111199114014991941
6200443,0x3f,2025-01-17T09:20:00Z,50.7405,1.5677,7.537,33.118,,,3.404,0.804,6.25,0.307,3.059,10906,,,91.163,,0,25.249,001111199113013991941
6200443,0x3f,2025-01-17T09:40:00Z,50.7405,1.5677,7.558,33.154,,,3.409,0.808,6.27,0.283,2.756,10931,,,91.274,,0,24.253,001111199113013991941
6200443,0x3f,2025-01-17T10:00:00Z,50.7405,1.5677,7.556,33.159,,,3.41,0.813,6.25,0.292,3.291,10906,,,91.262,,0,23.395,001111199113013991941
6200443,0x3f,2025-01-17T10:20:00Z,50.7405,1.5677,7.591,33.215,,,3.419,0.801,6.25,0.288,3.039,10906,,,91.336,,0,23.467,001111199113013991941
6200443,0x3f,2025-01-17T10:40:00Z,50.7405,1.5677,7.576,33.23,,,3.418,0.798,0,0.29,3.137,0,,,0,,0,23.603,001111199114014994941
6200443,0x3f,2025-01-17T11:00:00Z,50.7405,1.5677,7.586,33.221,,,3.418,0.793,6.26,0.284,2.797,10919,,,91.448,,0,23.488,001111199113013991941
6200443,0x3f,2025-01-17T11:20:00Z,50.7405,1.5677,7.582,33.228,,,3.419,0.802,6.26,0.288,2.429,10919,,,91.46,,0,23.492,001111199113013991941
6200443,0x3f,2025-01-17T11:40:00Z,50.7405,1.5677,7.533,33.153,,,3.408,0.789,6.27,0.296,2.121,10931,,,91.534,,0,21.753,001111199113013991941
6200443,0x3f,2025-01-17T12:00:00Z,50.7405,1.5677,7.504,33.008,,,3.391,0.798,6.28,0.274,2.232,10944,,,91.707,,0,21.566,001111199113013991941
6200443,0x3f,2025-01-17T12:00:01Z,50.7405,1.5677,,,,,,1.4,,,,,,0.63,,0.4,,,001119999979999919199
6200443,0x3f,2025-01-17T12:20:00Z,50.7405,1.5677,7.49,32.805,,,3.372,0.794,6.32,0.283,2.002,11005,,,92.041,,0,20.254,001111199113013991941
6200443,0x3f,2025-01-17T12:40:00Z,50.7405,1.5677,7.512,32.817,,,3.374,0.785,0,0.27,2.394,0,,,0,,0,20.287,001111199114014994941
6200443,0x3f,2025-01-17T13:00:00Z,50.7405,1.5677,7.522,32.911,,,3.384,0.791,6.31,0.282,2.2,10993,,,91.658,,0,21.139,001111199113013991941
6200443,0x3f,2025-01-17T13:20:00Z,50.7405,1.5677,7.525,32.949,,,3.388,0.783,6.31,0.281,1.933,10993,,,91.658,,0,20.545,001111199113013991941
6200443,0x3f,2025-01-17T13:40:00Z,50.7405,1.5677,7.53,32.975,,,3.391,0.784,6.31,0.299,1.68,10993,,,91.72,,0,20.598,001111199113013991941
6200443,0x3f,2025-01-17T14:00:01Z,50.7405,1.5677,7.524,32.967,,,3.389,0.778,6.29,0.291,2.949,10968,,,91.72,,0,23.805,001111199113013991941
6200443,0x3f,2025-01-17T14:20:00Z,50.7405,1.5677,7.513,32.977,,,3.389,0.779,6.31,0.287,2.566,10993,,,91.831,,0,20.51,001111199113013991941
6200443,0x3f,2025-01-17T14:40:00Z,50.7405,1.5677,7.483,32.76,,,3.367,0.778,0,0.284,2.683,0,,,91.88,,0,20.708,001111199114014991941
6200443,0x3f,2025-01-17T15:00:00Z,50.7405,1.5677,7.472,32.684,,,3.359,0.774,6.35,0.29,2.314,11043,,,92.053,,0,19.839,001111199113013991941
6200443,0x3f,2025-01-17T15:20:00Z,50.7405,1.5677,7.524,32.88,,,3.381,0.781,0,0.292,2.487,0,,,91.905,,0,20.782,001111199114014991941
6200443,0x3f,2025-01-17T15:40:00Z,50.7405,1.5677,7.523,32.909,,,3.384,0.774,0,0.293,2.245,0,,,0,,0,20.623,001111199114014994941
6200443,0x3f,2025-01-17T16:00:00Z,50.7405,1.5677,7.462,32.746,,,3.364,0.776,0,0.275,2.476,0,,,0,,0,19.144,001111199114014994941
6200443,0x3f,2025-01-17T16:00:01Z,50.7405,1.5677,,,,24.51,,1.4,,,,,,,,,,,001119990979999999999
6200443,0x3f,2025-01-17T16:20:00Z,50.7405,1.5677,7.452,32.724,,,3.36,0.776,0,0.282,2.211,0,,,0,,0,18.868,001111199114014994941
6200443,0x3f,2025-01-17T16:40:00Z,50.7405,1.5677,7.437,32.704,,,3.356,0.783,6.31,0.277,1.612,10981,,,91.843,,0,19.769,001111199113013991941
6200443,0x3f,2025-01-17T17:00:00Z,50.7405,1.5677,7.484,32.821,,,3.372,0.783,0,0.285,1.409,0,,,0,,0,18.555,001111199114014994941
6200443,0x3f,2025-01-17T17:20:00Z,50.7405,1.5677,7.529,32.892,,,3.383,0.791,0,0.286,1.906,0,,,0,,0,18.6,001111199114014994941
6200443,0x3f,2025-01-17T17:40:00Z,50.7405,1.5677,7.527,32.879,,,3.382,0.795,6.28,0.283,1.786,10944,,,91.448,,0,18.573,001111199113013991941
6200443,0x3f,2025-01-17T18:00:00Z,50.7405,1.5677,7.374,32.472,,,3.331,0.781,6.3,0.263,1.809,10944,,,91.361,,0,18.456,001111199113013991941
6200443,0x3f,2025-01-17T18:00:04Z,50.7405,1.5677,,,,,,1.4,,,,,,0.62,,0.47,,,001119999979999919199
6200443,0x3f,2025-01-17T18:20:00Z,50.7405,1.5677,7.396,32.716,,,3.354,0.781,0,0.281,1.826,0,,,0,,0,18.487,001111199114014994941
6200443,0x3f,2025-01-17T18:40:00Z,50.7405,1.5677,7.386,32.585,,,3.341,0.789,0,0.285,2.676,0,,,0,,0,19.056,001111199114014994941
6200443,0x3f,2025-01-17T19:00:00Z,50.7405,1.5677,7.352,31.798,,,3.272,0.785,0,0.278,2.373,0,,,0,,0,17.915,001111199114014994941
6200443,0x3f,2025-01-17T19:20:00Z,50.7405,1.5677,7.105,30.141,,,3.097,0.78,6.41,0.28,3.982,10993,,,91.188,,0,18.025,001111199113013991941
6200443,0x3f,2025-01-17T19:40:00Z,50.7405,1.5677,7.145,30.63,,,3.139,0.778,0,0.273,3.616,0,,,0,,0,18.167,001111199114014994941
6200443,0x3f,2025-01-17T20:00:00Z,50.7405,1.5677,7.171,30.898,,,3.168,0.784,0,0.271,3.31,0,,,0,,0,17.676,001111199114014994941
6200443,0x3f,2025-01-17T20:20:00Z,50.7405,1.5677,7.249,31.303,,,3.212,0.783,0,0.286,2.943,0,,,0,,0,17.441,001111199114014994941
6200443,0x3f,2025-01-17T20:40:00Z,50.7405,1.5677,7.41,32.38,,,3.324,0.781,0,0.284,3.102,0,,,0,,0,18.817,001111199114014994941
6200443,0x3f,2025-01-17T21:00:00Z,50.7405,1.5677,7.414,32.657,,,3.351,0.787,6.3,0.285,2.689,10956,,,91.819,,0,21.896,001111199113013991941
6200443,0x3f,2025-01-17T21:20:00Z,50.7405,1.5677,7.447,32.916,,,3.378,0.779,0,0.275,3.971,0,,,0,,0,24.434,001111199114014994941
6200443,0x3f,2025-01-17T21:40:00Z,50.7405,1.5677,7.465,32.994,,,3.387,0.778,0,0.285,3.447,0,,,0,,0,22.974,001111199114014994941
6200443,0x3f,2025-01-17T22:00:00Z,50.7405,1.5677,7.527,33.125,,,3.405,0.79,0,0.288,3.832,0,,,0,,0,23.55,001111199114014994941
6200443,0x3f,2025-01-17T22:20:00Z,50.7405,1.5677,7.543,33.189,,,3.411,0.773,6.23,0.29,3.302,10869,,,90.953,,0,23.554,001111199113013991941
6200443,0x3f,2025-01-17T22:40:00Z,50.7405,1.5677,7.494,33.216,,,3.409,0.787,6.23,0.273,3.28,10882,,,90.854,,0,22.861,001111199113013991941
6200443,0x3f,2025-01-17T23:00:00Z,50.7405,1.5677,7.522,33.265,,,3.417,0.772,0,0.275,3.134,0,,,0,,0,22.562,001111199114014994941
6200443,0x3f,2025-01-17T23:20:00Z,50.7405,1.5677,7.545,33.291,,,3.422,0.776,6.22,0.278,4.222,10857,,,91.039,,0,24.055,001111199113013991941
