PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),LGH4 LEVEL0 (micro einstein m-2 s-1),TEMP LEVEL1 (degree_Celsius),PSAL LEVEL1 (psu),BATTERY LEVEL1 (volt),CNDC LEVEL1 (S/m),DEPH LEVEL1 (meter),DOX1 LEVEL1 (ml/l),END_CYCLE_FLOW LEVEL1 (l/minute),FLU3 LEVEL1 (FFU),MASS_DOXY LEVEL1 (milligram/m3),OSAT LEVEL1 (%),PHPH LEVEL1 (none),TUR4 LEVEL1 (ntu),QC
6200450,0x3f,2024-11-15T21:20:00Z,48.3580,-4.5518,0,100.532,14.195,34.682,,4.178,2.665,5.39,0.951,5.527,9354,92.594,8.488,3.465,0011174119111011111
6200450,0x3f,2024-11-15T21:40:00Z,48.3580,-4.5518,0,100.53,14.201,34.649,,4.174,2.656,5.4,0.943,5.824,9376,92.859,8.487,3.504,0011174119111011111
6200450,0x3f,2024-11-15T22:00:00Z,48.3580,-4.5518,0,100.531,14.192,34.641,,4.174,2.654,5.41,0.951,6.25,9398,92.947,8.484,3.567,0011174119111011111
6200450,0x3f,2024-11-15T22:20:00Z,48.3580,-4.5518,0,100.534,14.194,34.642,,4.174,2.659,5.41,0.953,6.466,9398,93.058,8.484,3.45,0011174119111011111
6200450,0x3f,2024-11-15T22:40:00Z,48.3580,-4.5518,0,100.532,14.202,34.655,,4.176,2.658,5.42,0.951,6.755,9420,93.201,8.485,3.499,0011174119111011111
6200450,0x3f,2024-11-15T23:00:00Z,48.3580,-4.5518,0,100.533,,,,,,,,,,,,,0011174999999999999
6200450,0x3f,2024-11-15T23:00:01Z,48.3580,-4.5518,,,14.241,34.664,,4.18,2.655,5.42,0.936,5.283,9420,93.224,8.491,3.842,0011199119111011111
6200450,0x3f,2024-11-15T23:20:00Z,48.3580,-4.5518,0,100.534,14.197,34.649,,4.175,2.648,5.4,0.94,6.548,9376,92.704,8.489,3.646,0011174119111011111
6200450,0x3f,2024-11-15T23:40:00Z,48.3580,-4.5518,0,100.535,14.192,34.652,,4.175,2.657,5.4,0.951,5.815,9376,92.782,8.486,3.425,0011174119111011111
6200450,0x3f,2024-11-16T00:00:00Z,48.3580,-4.5518,0,100.536,14.219,34.667,,4.179,2.663,5.41,0.936,5.929,9387,92.947,8.49,3.687,0011174119111011111
6200450,0x3f,2024-11-16T00:00:01Z,48.3580,-4.5518,,,,,26.35,,3,,,,,,,,0011199990979999999
6200450,0x3f,2024-11-16T00:20:00Z,48.3580,-4.5518,0,100.536,14.224,34.668,,4.18,2.66,5.4,0.951,19.587,9376,92.848,8.489,3.761,0011174119111011111
6200450,0x3f,2024-11-16T00:40:00Z,48.3580,-4.5518,0,100.534,14.211,34.666,,4.178,2.657,5.41,0.966,6.013,9387,92.925,8.489,3.497,0011174119111011111
