PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL1 (degree_Celsius),PSAL LEVEL1 (psu),DOX1 LEVEL1 (ml/l),PRES LEVEL1 (decibar),QC
EXIN0002,2025-02-06T12:00:05Z,43.6830,7.3170,14.2716,38.2125,5.555,2,01111111
EXIN0002,2025-02-06T12:30:05Z,43.6830,7.3170,14.3322,38.2168,5.554,2,01111111
EXIN0002,2025-02-06T13:00:05Z,43.6830,7.3170,14.3379,38.2125,5.497,2,01111111
EXIN0002,2025-02-06T13:30:05Z,43.6830,7.3170,14.3543,38.2138,5.546,2,01111111
EXIN0002,2025-02-06T14:00:05Z,43.6830,7.3170,14.3875,38.2047,5.454,2,01111111
EXIN0002,2025-02-06T14:30:05Z,43.6830,7.3170,14.3398,38.2089,5.421,2,01111111
EXIN0002,2025-02-06T15:00:05Z,43.6830,7.3170,14.3387,38.2098,5.407,2,01111111
EXIN0002,2025-02-06T15:30:05Z,43.6830,7.3170,14.3047,38.2059,5.406,2,01111111
EXIN0002,2025-02-06T16:00:05Z,43.6830,7.3170,14.2862,38.1315,5.471,2,01111111
EXIN0002,2025-02-06T16:30:05Z,43.6830,7.3170,14.1669,38.1043,5.518,2,01111111
EXIN0002,2025-02-06T17:00:05Z,43.6830,7.3170,14.1216,38.0971,5.52,2,01111111
EXIN0002,2025-02-06T17:30:05Z,43.6830,7.3170,14.0808,38.0786,5.529,2,01111111
EXIN0002,2025-02-06T18:00:05Z,43.6830,7.3170,14.0799,38.1034,5.534,2,01111111
EXIN0002,2025-02-06T18:30:05Z,43.6830,7.3170,14.1103,38.1211,5.499,2,01111111
EXIN0002,2025-02-06T19:00:05Z,43.6830,7.3170,14.0892,38.117,5.502,2,01111111
EXIN0002,2025-02-06T19:30:05Z,43.6830,7.3170,14.0876,38.1193,5.503,2,01111111
EXIN0002,2025-02-06T20:00:05Z,43.6830,7.3170,14.1178,38.131,5.476,2,01111111
EXIN0002,2025-02-06T20:30:05Z,43.6830,7.3170,14.0631,38.1161,5.482,2,01111111
EXIN0002,2025-02-06T21:00:05Z,43.6830,7.3170,14.0894,38.1254,5.479,2,01111111
EXIN0002,2025-02-06T21:30:05Z,43.6830,7.3170,14.0777,38.1205,5.492,2,01111111
EXIN0002,2025-02-06T22:32:16Z,43.6830,7.3170,14.0681,38.1278,5.489,2,01111111
EXIN0002,2025-02-06T23:02:16Z,43.6830,7.3170,14.1057,38.1455,5.464,2,01111111
EXIN0002,2025-02-06T23:32:16Z,43.6830,7.3170,14.1094,38.1551,5.45,2,01111111
EXIN0002,2025-02-07T00:02:16Z,43.6830,7.3170,14.131,38.1602,5.437,2,01111111
EXIN0002,2025-02-07T00:32:16Z,43.6830,7.3170,14.1339,38.1646,5.434,2,01111111
EXIN0002,2025-02-07T01:02:16Z,43.6830,7.3170,14.1239,38.1641,5.429,2,01111111
EXIN0002,2025-02-07T01:32:16Z,43.6830,7.3170,14.136,38.1656,5.42,2,01111111
EXIN0002,2025-02-07T02:02:16Z,43.6830,7.3170,14.1429,38.1683,5.421,2,01111111
EXIN0002,2025-02-07T02:32:16Z,43.6830,7.3170,14.1188,38.1655,5.429,2,01111111
EXIN0002,2025-02-07T03:02:16Z,43.6830,7.3170,14.1119,38.1649,5.429,2,01111111
EXIN0002,2025-02-07T03:32:16Z,43.6830,7.3170,14.1148,38.1655,5.429,2,01111111
EXIN0002,2025-02-07T04:02:16Z,43.6830,7.3170,14.1194,38.1635,5.427,2,01111111
EXIN0002,2025-02-07T04:32:16Z,43.6830,7.3170,14.1152,38.1633,5.429,2,01111111
EXIN0002,2025-02-07T05:02:16Z,43.6830,7.3170,14.1143,38.1664,5.425,2,01111111
EXIN0002,2025-02-07T05:32:16Z,43.6830,7.3170,14.0933,38.1664,5.434,2,01111111
EXIN0002,2025-02-07T06:02:16Z,43.6830,7.3170,14.0999,38.1659,5.441,2,01111111
EXIN0002,2025-02-07T06:32:16Z,43.6830,7.3170,14.0719,38.1625,5.445,2,01111111
EXIN0002,2025-02-07T07:02:16Z,43.6830,7.3170,14.0653,38.164,5.445,2,01111111
EXIN0002,2025-02-07T07:32:16Z,43.6830,7.3170,14.0602,38.162,5.455,2,01111111
EXIN0002,2025-02-07T08:02:16Z,43.6830,7.3170,14.0647,38.1603,5.462,2,01111111
EXIN0002,2025-02-07T08:32:16Z,43.6830,7.3170,14.076,38.1636,5.467,2,01111111
EXIN0002,2025-02-07T09:02:16Z,43.6830,7.3170,14.0752,38.1579,5.475,2,01111111
EXIN0002,2025-02-07T09:32:16Z,43.6830,7.3170,14.0948,38.1668,5.469,2,01111111
EXIN0002,2025-02-07T10:02:16Z,43.6830,7.3170,14.1135,38.1707,5.47,2,01111111
EXIN0002,2025-02-07T10:32:16Z,43.6830,7.3170,14.1103,38.1727,5.466,2,01111111
EXIN0002,2025-02-07T11:02:16Z,43.6830,7.3170,14.1265,38.1723,5.474,2,01111111
EXIN0002,2025-02-07T11:32:16Z,43.6830,7.3170,14.1631,38.1734,5.476,2,01111111
EXIN0002,2025-02-07T12:02:16Z,43.6830,7.3170,14.1452,38.1732,5.484,2,01111111
EXIN0002,2025-02-07T12:32:16Z,43.6830,7.3170,14.1347,38.1721,5.478,2,01111111
EXIN0002,2025-02-07T13:02:16Z,43.6830,7.3170,14.1224,38.1738,5.475,2,01111111
EXIN0002,2025-02-07T13:32:16Z,43.6830,7.3170,14.1211,38.1715,5.483,2,01111111
EXIN0002,2025-02-07T14:02:16Z,43.6830,7.3170,14.1187,38.1724,5.484,2,01111111
EXIN0002,2025-02-07T14:32:16Z,43.6830,7.3170,14.1133,38.1722,5.484,2,01111111
EXIN0002,2025-02-07T15:02:16Z,43.6830,7.3170,14.1069,38.172,5.492,2,01111111
EXIN0002,2025-02-07T15:32:16Z,43.6830,7.3170,14.1083,38.1708,5.507,2,01111111
EXIN0002,2025-02-07T16:02:16Z,43.6830,7.3170,14.1084,38.1705,5.51,2,01111111
EXIN0002,2025-02-07T16:32:16Z,43.6830,7.3170,14.1107,38.1716,5.496,2,01111111
EXIN0002,2025-02-07T17:02:16Z,43.6830,7.3170,14.0917,38.1738,5.5,2,01111111
EXIN0002,2025-02-07T17:32:16Z,43.6830,7.3170,14.104,38.1774,5.492,2,01111111
EXIN0002,2025-02-07T18:02:16Z,43.6830,7.3170,14.093,38.1789,5.472,2,01111111
EXIN0002,2025-02-07T18:32:16Z,43.6830,7.3170,14.1212,38.1855,5.443,2,01111111
EXIN0002,2025-02-07T19:02:16Z,43.6830,7.3170,14.1065,38.1839,5.443,2,01111111
EXIN0002,2025-02-07T19:32:16Z,43.6830,7.3170,14.1215,38.1854,5.437,2,01111111
EXIN0002,2025-02-07T20:02:16Z,43.6830,7.3170,14.1022,38.1814,5.446,2,01111111
EXIN0002,2025-02-07T20:32:16Z,43.6830,7.3170,14.0998,38.1822,5.45,2,01111111
EXIN0002,2025-02-07T21:02:16Z,43.6830,7.3170,14.1069,38.187,5.443,2,01111111
EXIN0002,2025-02-07T22:32:19Z,43.6830,7.3170,14.1126,38.1871,5.44,2,01111111
EXIN0002,2025-02-07T23:02:19Z,43.6830,7.3170,14.1065,38.1884,5.435,2,01111111
EXIN0002,2025-02-07T23:32:19Z,43.6830,7.3170,14.1176,38.1901,5.428,2,01111111
EXIN0002,2025-02-08T00:02:19Z,43.6830,7.3170,14.1012,38.1901,5.434,2,01111111
EXIN0002,2025-02-08T00:32:19Z,43.6830,7.3170,14.1076,38.1919,5.428,2,01111111
EXIN0002,2025-02-08T01:02:19Z,43.6830,7.3170,14.1143,38.194,5.432,2,01111111
EXIN0002,2025-02-08T01:32:19Z,43.6830,7.3170,14.1005,38.1933,5.429,2,01111111
EXIN0002,2025-02-08T02:02:19Z,43.6830,7.3170,14.1032,38.1929,5.429,2,01111111
EXIN0002,2025-02-08T02:32:19Z,43.6830,7.3170,14.0872,38.1935,5.43,2,01111111
EXIN0002,2025-02-08T03:02:19Z,43.6830,7.3170,14.0891,38.1957,5.421,2,01111111
EXIN0002,2025-02-08T03:32:19Z,43.6830,7.3170,14.106,38.198,5.425,2,01111111
EXIN0002,2025-02-08T04:02:19Z,43.6830,7.3170,14.1047,38.1984,5.419,2,01111111
EXIN0002,2025-02-08T04:32:19Z,43.6830,7.3170,14.0922,38.1985,5.424,2,01111111
EXIN0002,2025-02-08T05:02:19Z,43.6830,7.3170,14.0899,38.1955,5.422,2,01111111
EXIN0002,2025-02-08T05:32:19Z,43.6830,7.3170,14.0152,38.1744,5.446,2,01111111
EXIN0002,2025-02-08T06:02:19Z,43.6830,7.3170,14.0206,38.1656,5.448,2,01111111
EXIN0002,2025-02-08T06:32:19Z,43.6830,7.3170,14.0004,38.1564,5.462,2,01111111
EXIN0002,2025-02-08T07:02:19Z,43.6830,7.3170,14.0026,38.1579,5.456,2,01111111
EXIN0002,2025-02-08T07:32:19Z,43.6830,7.3170,13.9966,38.1544,5.468,2,01111111
EXIN0002,2025-02-08T08:02:19Z,43.6830,7.3170,14.0013,38.1518,5.466,2,01111111
EXIN0002,2025-02-08T08:32:19Z,43.6830,7.3170,14.0078,38.1536,5.468,2,01111111
EXIN0002,2025-02-08T09:02:19Z,43.6830,7.3170,14.0081,38.1531,5.465,2,01111111
EXIN0002,2025-02-08T09:32:19Z,43.6830,7.3170,14.0237,38.1556,5.467,2,01111111
EXIN0002,2025-02-08T10:02:19Z,43.6830,7.3170,14.0278,38.1573,5.469,2,01111111
EXIN0002,2025-02-08T10:32:19Z,43.6830,7.3170,14.0312,38.1577,5.464,2,01111111
EXIN0002,2025-02-08T11:02:19Z,43.6830,7.3170,14.0244,38.158,5.469,2,01111111
EXIN0002,2025-02-08T11:32:19Z,43.6830,7.3170,14.0237,38.1634,5.467,2,01111111
EXIN0002,2025-02-08T12:02:19Z,43.6830,7.3170,14.0461,38.1657,5.46,2,01111111
EXIN0002,2025-02-08T12:32:19Z,43.6830,7.3170,14.0345,38.1711,5.455,2,01111111
EXIN0002,2025-02-08T13:02:19Z,43.6830,7.3170,14.0472,38.1706,5.458,2,01111111
EXIN0002,2025-02-08T13:32:19Z,43.6830,7.3170,14.0372,38.1734,5.454,2,01111111
EXIN0002,2025-02-08T14:02:19Z,43.6830,7.3170,14.0367,38.1718,5.455,2,01111111
EXIN0002,2025-02-08T14:32:19Z,43.6830,7.3170,14.0412,38.1727,5.452,2,01111111
EXIN0002,2025-02-08T15:02:19Z,43.6830,7.3170,14.0467,38.1703,5.453,2,01111111
EXIN0002,2025-02-08T15:32:19Z,43.6830,7.3170,14.0276,38.1686,5.466,2,01111111
EXIN0002,2025-02-08T16:02:19Z,43.6830,7.3170,14.0236,38.1669,5.466,2,01111111
EXIN0002,2025-02-08T16:32:19Z,43.6830,7.3170,14.037,38.1667,5.461,2,01111111
EXIN0002,2025-02-08T17:02:19Z,43.6830,7.3170,13.993,38.1661,5.466,2,01111111
EXIN0002,2025-02-08T17:32:19Z,43.6830,7.3170,14.0258,38.1666,5.462,2,01111111
EXIN0002,2025-02-08T18:02:19Z,43.6830,7.3170,14.0145,38.167,5.461,2,01111111
EXIN0002,2025-02-08T18:32:19Z,43.6830,7.3170,14.0299,38.1679,5.458,2,01111111
EXIN0002,2025-02-08T19:02:19Z,43.6830,7.3170,14.026,38.1686,5.458,2,01111111
EXIN0002,2025-02-08T19:32:19Z,43.6830,7.3170,14.0154,38.1678,5.454,2,01111111
EXIN0002,2025-02-08T20:02:19Z,43.6830,7.3170,13.9763,38.1735,5.459,2,01111111
EXIN0002,2025-02-08T20:32:19Z,43.6830,7.3170,14.0138,38.1689,5.458,2,01111111
EXIN0002,2025-02-08T21:02:19Z,43.6830,7.3170,14.026,38.1681,5.46,2,01111111
EXIN0002,2025-02-08T22:32:14Z,43.6830,7.3170,14.0174,38.1677,5.456,2,01111111
EXIN0002,2025-02-08T23:02:14Z,43.6830,7.3170,13.9982,38.1699,5.454,2,01111111
