PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DRYT LEVEL-1 (degree_Celsius),DEPH LEVEL-1 (meter),WDIR LEVEL-1 (degree),WSPD LEVEL-1 (meter/second),TEMP LEVEL1 (degree_Celsius),PSAL LEVEL1 (psu),DEPH LEVEL1 (meter),QC
EXIN0003,2025-01-16T12:20:00Z,42.7042,3.0672,8.6,-2,348.7,4.476,12.2,38,1.5,01111711117
EXIN0003,2025-01-16T12:30:00Z,42.7042,3.0672,8.3,-2,352.4,4.476,12.2,38,1.5,01111711117
EXIN0003,2025-01-16T12:40:00Z,42.7042,3.0672,8.3,-2,332.9,3.447,12.2,38,1.5,01111711117
EXIN0003,2025-01-16T12:50:00Z,42.7042,3.0672,8.6,-2,344.8,3.241,12.2,38,1.5,01111711117
EXIN0003,2025-01-16T13:00:00Z,42.7042,3.0672,8.9,-2,2.4,3.447,12.2,38,1.5,01111711117
EXIN0003,2025-01-16T13:10:00Z,42.7042,3.0672,8.5,-2,11,3.807,12.2,38,1.5,01111711117
EXIN0003,2025-01-16T13:20:00Z,42.7042,3.0672,8.5,-2,352.6,3.755,12.2,38,1.5,01111711117
EXIN0003,2025-01-16T13:30:00Z,42.7042,3.0672,8.4,-2,353.5,3.344,12.2,38,1.5,01111711117
EXIN0003,2025-01-16T13:40:00Z,42.7042,3.0672,7.6,-2,8.8,3.447,12.2,38,1.5,01111711117
EXIN0003,2025-01-16T13:50:00Z,42.7042,3.0672,7.3,-2,154.7,3.344,12.2,38,1.5,01111711117
EXIN0003,2025-01-16T14:00:00Z,42.7042,3.0672,5.2,-2,154.7,1.286,12.2,38,1.5,01111711117
EXIN0003,2025-01-16T14:10:00Z,42.7042,3.0672,5.4,-2,230.5,1.955,12.2,38,1.5,01111711117
EXIN0003,2025-01-16T14:20:00Z,42.7042,3.0672,5.8,-2,259.9,1.08,12.2,38,1.5,01111711117
EXIN0003,2025-01-16T14:30:00Z,42.7042,3.0672,6.8,-2,275.3,1.492,12.2,38,1.5,01111711117
EXIN0003,2025-01-16T14:40:00Z,42.7042,3.0672,6.4,-2,275.7,1.389,12.2,38,1.5,01111711117
EXIN0003,2025-01-16T14:50:00Z,42.7042,3.0672,6.6,-2,281,1.903,12.2,38,1.5,01111711117
EXIN0003,2025-01-16T15:00:00Z,42.7042,3.0672,6.6,-2,259.1,1.903,12.2,38,1.5,01111711117
EXIN0003,2025-01-16T15:10:00Z,42.7042,3.0672,6.9,-2,293.2,2.675,12.1,38,1.5,01111711117
EXIN0003,2025-01-16T15:20:00Z,42.7042,3.0672,6.9,-2,70.6,2.881,12.1,37.9,1.5,01111711117
EXIN0003,2025-01-16T15:30:00Z,42.7042,3.0672,5.5,-2,194.3,1.132,12.1,37.9,1.5,01111711117
EXIN0003,2025-01-16T15:40:00Z,42.7042,3.0672,5.2,-2,245,2.727,12.1,37.9,1.5,01111711117
EXIN0003,2025-01-16T15:50:00Z,42.7042,3.0672,5.4,-2,254.5,4.373,12.1,37.9,1.5,01111711117
EXIN0003,2025-01-16T16:00:00Z,42.7042,3.0672,5.7,-2,260.6,4.218,12.1,37.9,1.5,01111711117
EXIN0003,2025-01-16T16:10:00Z,42.7042,3.0672,5.5,-2,265.5,4.116,12.1,37.9,1.5,01111711117
EXIN0003,2025-01-16T16:20:00Z,42.7042,3.0672,5.8,-2,278.8,3.704,12.1,37.9,1.5,01111711117
EXIN0003,2025-01-16T16:30:00Z,42.7042,3.0672,5.8,-2,294.4,3.807,12.1,37.9,1.5,01111711117
EXIN0003,2025-01-16T16:40:00Z,42.7042,3.0672,5.7,-2,285.3,3.91,12.1,37.9,1.5,01111711117
EXIN0003,2025-01-16T16:50:00Z,42.7042,3.0672,5.8,-2,288.3,3.961,12.1,37.9,1.5,01111711117
EXIN0003,2025-01-16T17:00:00Z,42.7042,3.0672,5.8,-2,269.5,3.91,12.1,37.9,1.5,01111711117
EXIN0003,2025-01-16T17:10:00Z,42.7042,3.0672,5.9,-2,260.9,4.321,12.1,37.9,1.5,01111711117
EXIN0003,2025-01-16T17:20:00Z,42.7042,3.0672,6.1,-2,279.3,5.35,12.1,37.9,1.5,01111711117
