PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL1 (degree_Celsius),PSAL LEVEL1 (psu),CNDC LEVEL1 (S/m),CPHL LEVEL1 (milligram/m3),DEPH LEVEL1 (meter),PRES LEVEL1 (decibar),TUR4 LEVEL1 (ntu),QC
EXIN0004,2025-01-16T13:00:00Z,43.2388,5.2853,14.198,38.549,45.922,10.016,0.5,0.51,0.247,01111110711
EXIN0004,2025-01-16T14:00:00Z,43.2388,5.2853,14.189,38.539,45.903,13.17,0.5,0.54,0.292,01111110711
EXIN0004,2025-01-16T15:00:00Z,43.2388,5.2853,14.168,38.554,45.896,14.866,0.5,0.56,0.337,01111110711
EXIN0004,2025-01-16T16:00:00Z,43.2388,5.2853,14.164,38.553,45.89,28.193,0.5,0.43,0.337,01111110711
EXIN0004,2025-01-16T17:00:00Z,43.2388,5.2853,14.165,38.549,45.887,18.533,0.5,0.62,0.337,01111110711
EXIN0004,2025-01-16T18:00:00Z,43.2388,5.2853,14.124,38.55,45.846,19.4,0.5,0.55,0.382,01111110711
EXIN0004,2025-01-16T19:00:00Z,43.2388,5.2853,14.134,38.552,45.858,20.662,0.5,0.66,0.27,01111110711
EXIN0004,2025-01-16T20:00:00Z,43.2388,5.2853,14.139,38.544,45.854,19.716,0.5,0.69,0.225,01111110711
EXIN0004,2025-01-16T21:00:00Z,43.2388,5.2853,14.139,38.552,45.862,19.006,0.5,0.5,0.472,01111110711
EXIN0004,2025-01-16T22:00:00Z,43.2388,5.2853,14.133,38.548,45.852,16.601,0.5,0.54,0.247,01111110711
EXIN0004,2025-01-16T23:00:00Z,43.2388,5.2853,14.123,38.554,45.848,20.78,0.5,0.65,0.225,01111110711
EXIN0004,2025-01-17T00:00:00Z,43.2388,5.2853,14.119,38.542,45.831,20.07,0.5,0.54,0.315,01111110711
EXIN0004,2025-01-17T01:00:00Z,43.2388,5.2853,14.105,38.492,45.763,16.916,0.5,0.56,0.247,01111110711
EXIN0004,2025-01-17T02:00:00Z,43.2388,5.2853,14.094,38.622,45.888,17.744,0.5,0.6,0.292,01111110711
EXIN0004,2025-01-17T03:00:00Z,43.2388,5.2853,14.087,38.577,45.834,17.429,0.5,0.55,0.27,01111110711
EXIN0004,2025-01-17T04:00:00Z,43.2388,5.2853,14.071,38.574,45.814,18.059,0.5,0.7,0.247,01111110711
EXIN0004,2025-01-17T05:00:00Z,43.2388,5.2853,14.075,38.535,45.777,17.902,0.5,0.57,0.315,01111110711
EXIN0004,2025-01-17T06:00:00Z,43.2388,5.2853,14.06,38.554,45.781,18.454,0.5,0.62,0.202,01111110711
EXIN0004,2025-01-17T07:00:00Z,43.2388,5.2853,14.064,38.549,45.78,16.246,0.5,0.56,0.315,01111110711
