PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL-1 (degree_Celsius),ATMS LEVEL-1 (hectopascal),DEPH LEVEL-1 (meter),WDIR LEVEL-1 (degree),WSPD LEVEL-1 (meter/second),TEMP LEVEL1 (degree_Celsius),PSAL LEVEL1 (psu),DEPH LEVEL1 (meter),DOX1 LEVEL1 (ml/l),FLUO LEVEL1 (relative unit),TUR4 LEVEL1 (ntu),QC
EXIN0006,2025-01-16T09:20:00Z,42.4833,3.1333,7.1,-99999,-2,333.6,7.151,12,38.2,1.5,-99999,-99999,-99999,011111711117441
EXIN0006,2025-01-16T09:40:00Z,42.4833,3.1333,7,-99999,-2,336.7,7.562,11.8,38.2,1.5,-99999,-99999,-99999,011111711117441
EXIN0006,2025-01-16T09:50:00Z,42.4833,3.1333,7.1,-99999,-2,322.4,7.357,11.7,38.2,1.5,-99999,-99999,-99999,011111711117441
EXIN0006,2025-01-16T10:00:00Z,42.4833,3.1333,7,-99999,-2,312.8,6.533,11.7,38.2,1.5,-99999,-99999,-99999,011111711117441
EXIN0006,2025-01-16T10:10:00Z,42.4833,3.1333,7,-99999,-2,321.5,7.202,11.7,38.2,1.5,-99999,-99999,-99999,011111711117441
EXIN0006,2025-01-16T10:20:00Z,42.4833,3.1333,7.2,-99999,-2,317.2,5.659,11.7,38.2,1.5,-99999,-99999,-99999,011111711117441
EXIN0006,2025-01-16T10:30:00Z,42.4833,3.1333,7.2,-99999,-2,331.7,6.533,11.6,38.1,1.5,-99999,-99999,-99999,011111711117441
EXIN0006,2025-01-16T10:40:00Z,42.4833,3.1333,7.1,-99999,-2,324.6,6.276,11.6,38.1,1.5,-99999,-99999,-99999,011111711117441
EXIN0006,2025-01-16T10:50:00Z,42.4833,3.1333,7.2,-99999,-2,328.2,7.974,11.6,38.1,1.5,-99999,-99999,-99999,011111711117441
EXIN0006,2025-01-16T11:00:00Z,42.4833,3.1333,7.2,-99999,-2,328.2,7.357,11.6,38.1,1.5,-99999,-99999,-99999,011111711117441
EXIN0006,2025-01-16T11:10:00Z,42.4833,3.1333,7.2,-99999,-2,322.4,5.659,11.6,38.1,1.5,-99999,-99999,-99999,011111711117441
EXIN0006,2025-01-16T11:20:00Z,42.4833,3.1333,7.3,-99999,-2,328.5,7.202,11.6,38.1,1.5,-99999,-99999,-99999,011111711117441
EXIN0006,2025-01-16T11:30:00Z,42.4833,3.1333,7.2,-99999,-2,329.5,8.385,11.6,38.1,1.5,-99999,-99999,-99999,011111711117441
EXIN0006,2025-01-16T11:40:00Z,42.4833,3.1333,7.3,-99999,-2,327.1,7.202,11.6,38.1,1.5,-99999,-99999,-99999,011111711117441
EXIN0006,2025-01-16T11:50:00Z,42.4833,3.1333,7.7,-99999,-2,322,8.437,11.6,38.1,1.5,-99999,-99999,-99999,011111711117441
EXIN0006,2025-01-16T12:00:00Z,42.4833,3.1333,8,-99999,-2,322.6,7.305,11.6,38.1,1.5,-99999,-99999,-99999,011111711117441
EXIN0006,2025-01-16T12:10:00Z,42.4833,3.1333,8,-99999,-2,325.4,8.334,11.6,38.1,1.5,-99999,-99999,-99999,011111711117441
EXIN0006,2025-01-16T12:20:00Z,42.4833,3.1333,8,-99999,-2,330.3,7.614,11.7,38.2,1.5,-99999,-99999,-99999,011111711117441
EXIN0006,2025-01-16T12:30:00Z,42.4833,3.1333,8,-99999,-2,338.6,7.871,11.7,38.2,1.5,-99999,-99999,-99999,011111711117441
EXIN0006,2025-01-16T12:40:00Z,42.4833,3.1333,7.9,-99999,-2,344.3,8.488,11.7,38.2,1.5,-99999,-99999,-99999,011111711117441
EXIN0006,2025-01-16T12:50:00Z,42.4833,3.1333,7.9,-99999,-2,345.8,9.363,11.7,38.2,1.5,-99999,-99999,-99999,011111711117441
EXIN0006,2025-01-16T13:00:00Z,42.4833,3.1333,7.7,-99999,-2,344.6,8.128,11.7,38.2,1.5,-99999,-99999,-99999,011111711117441
EXIN0006,2025-01-16T13:10:00Z,42.4833,3.1333,7.4,-99999,-2,346.3,9.209,11.7,38.2,1.5,-99999,-99999,-99999,011111711117441
EXIN0006,2025-01-16T13:20:00Z,42.4833,3.1333,7.4,-99999,-2,356,7.665,11.7,38.2,1.5,-99999,-99999,-99999,011111711117441
